iter	Logloss
0	0.6880668629
1	0.6845190732
2	0.6813690983
3	0.6777536428
4	0.6757366942
5	0.6735899338
6	0.6674413873
7	0.6642197837
8	0.6590407051
9	0.6532692287
10	0.6513950342
11	0.6466697995
12	0.641574869
13	0.6381509092
14	0.6357458882
15	0.6310855326
16	0.6276732682
17	0.6246407059
18	0.6245444878
19	0.6212649019
20	0.6185044618
21	0.6141982268
22	0.6104792807
23	0.6067684352
24	0.6049762815
25	0.6019779812
26	0.5989047863
27	0.5942055445
28	0.5917672069
29	0.5897037273
30	0.5880198908
31	0.5853050397
32	0.5839154797
33	0.5821197321
34	0.579272809
35	0.5758906513
36	0.5733468662
37	0.5705601107
38	0.5688989048
39	0.5673831081
40	0.5648867488
41	0.56325241
42	0.5598652839
43	0.5591245738
44	0.5562626886
45	0.5536780142
46	0.5527210927
47	0.5493565316
48	0.5478690693
49	0.5440673415
50	0.5414145298
51	0.5407165556
52	0.537761581
53	0.5346421362
54	0.5322086617
55	0.5296158068
56	0.5269760848
57	0.5247314838
58	0.524705964
59	0.5241910207
60	0.5215679356
61	0.5177405079
62	0.5139729812
63	0.5126671137
64	0.5098101366
65	0.5094622857
66	0.5081292344
67	0.5060287527
68	0.5040183908
69	0.5013341973
70	0.4982836268
71	0.4982671774
72	0.4957879924
73	0.4939460834
74	0.4927562339
75	0.4919203644
76	0.4888992161
77	0.4871403272
78	0.4856810969
79	0.4838426412
80	0.4812361566
81	0.4797279843
82	0.4776963659
83	0.4757849371
84	0.4744905618
85	0.473089379
86	0.4716666499
87	0.4705458258
88	0.4675737426
89	0.465922109
90	0.4647230401
91	0.4639318282
92	0.4606589057
93	0.4605295149
94	0.45803081
95	0.45502765
96	0.4537149261
97	0.4516544772
98	0.4515091706
99	0.4497720331
100	0.447956277
101	0.4468368273
102	0.4452812087
103	0.443604166
104	0.4417661219
105	0.4401449316
106	0.4388473621
107	0.4372959024
108	0.4356943868
109	0.4339599504
110	0.4327992891
111	0.4321810103
112	0.4321676438
113	0.4304670691
114	0.429630728
115	0.4282285838
116	0.4267549788
117	0.4250670094
118	0.4235838396
119	0.4219934014
120	0.4203867098
121	0.4187245843
122	0.4176368621
123	0.4163126565
124	0.415153425
125	0.413666082
126	0.4120450443
127	0.4092711903
128	0.4092478953
129	0.4074556571
130	0.4062108989
131	0.4035549214
132	0.4013905303
133	0.4009899695
134	0.3992126469
135	0.3986493334
136	0.3976710505
137	0.3963559043
138	0.3944923153
139	0.3931051824
140	0.3912805381
141	0.389865421
142	0.389267757
143	0.3878310737
144	0.3861269109
145	0.3854245684
146	0.3843074581
147	0.3822385236
148	0.3805970068
149	0.3788392695
150	0.3769826403
151	0.3766626474
152	0.3749279774
153	0.3736716487
154	0.3729473138
155	0.3710809672
156	0.3704066048
157	0.3687414392
158	0.3673985743
159	0.3664353625
160	0.3642438119
161	0.3626085764
162	0.3608144325
163	0.3588765209
164	0.3578286573
165	0.3573610644
166	0.3567641216
167	0.3554792937
168	0.3537577313
169	0.3537566494
170	0.3526072468
171	0.3514071465
172	0.3502413561
173	0.3488582006
174	0.3478001984
175	0.3473490685
176	0.3469086232
177	0.3463749347
178	0.3452860797
179	0.3444539057
180	0.3444535633
181	0.3436433548
182	0.3419212972
183	0.3419147023
184	0.3408687354
185	0.3408072219
186	0.3397522104
187	0.3396238978
188	0.3385813021
189	0.3374949091
190	0.3367256323
191	0.3358955034
192	0.3348162706
193	0.334691459
194	0.3338501226
195	0.3329840826
196	0.3305682497
197	0.330005315
198	0.3291531892
199	0.328520654
200	0.3282043691
201	0.3274671166
202	0.3266754472
203	0.3256811408
204	0.324555936
205	0.3239886949
206	0.3229574762
207	0.3216350624
208	0.3207658314
209	0.319744799
210	0.3190674831
211	0.3190631024
212	0.3184259561
213	0.3174039009
214	0.3162798577
215	0.3151435941
216	0.3140463089
217	0.3133294271
218	0.3122674688
219	0.3121697226
220	0.3120605551
221	0.3109113745
222	0.309980923
223	0.3093662697
224	0.3072886129
225	0.3071849511
226	0.3068414276
227	0.305897767
228	0.305298977
229	0.3050155433
230	0.3045539825
231	0.3041216899
232	0.3039953558
233	0.3027267712
234	0.3017160349
235	0.3013493531
236	0.3001575207
237	0.2992003109
238	0.2982128754
239	0.297383332
240	0.2965923769
241	0.2963476437
242	0.2954672009
243	0.2943613906
244	0.2933153644
245	0.2927131727
246	0.2917476492
247	0.2910303318
248	0.2900122069
249	0.2893560925
