iter	Passed	Remaining
0	17	4336
1	41	5094
2	65	5367
3	85	5269
4	111	5449
5	125	5105
6	164	5721
7	195	5907
8	219	5883
9	246	5919
10	274	5965
11	297	5902
12	324	5913
13	347	5861
14	363	5701
15	390	5706
16	422	5787
17	445	5741
18	458	5577
19	481	5538
20	510	5566
21	541	5615
22	570	5634
23	598	5637
24	615	5535
25	641	5528
26	671	5549
27	696	5525
28	726	5533
29	744	5456
30	768	5431
31	793	5405
32	819	5390
33	841	5348
34	863	5304
35	887	5276
36	908	5232
37	934	5210
38	962	5207
39	983	5163
40	1007	5135
41	1030	5103
42	1063	5118
43	1070	5009
44	1095	4988
45	1120	4969
46	1134	4899
47	1163	4897
48	1188	4877
49	1212	4851
50	1241	4845
51	1260	4801
52	1286	4781
53	1310	4756
54	1336	4736
55	1358	4707
56	1380	4674
57	1406	4656
58	1423	4609
59	1440	4561
60	1465	4541
61	1491	4521
62	1521	4515
63	1551	4508
64	1582	4505
65	1591	4436
66	1621	4428
67	1650	4416
68	1678	4401
69	1704	4383
70	1734	4373
71	1741	4306
72	1775	4305
73	1825	4342
74	1860	4341
75	1890	4327
76	1916	4305
77	1947	4293
78	1979	4284
79	2015	4283
80	2044	4265
81	2072	4245
82	2106	4237
83	2134	4217
84	2157	4188
85	2180	4158
86	2207	4135
87	2233	4112
88	2257	4084
89	2284	4062
90	2318	4050
91	2345	4027
92	2372	4004
93	2391	3969
94	2417	3944
95	2445	3923
96	2467	3892
97	2510	3894
98	2518	3841
99	2542	3813
100	2578	3804
101	2601	3774
102	2626	3748
103	2652	3723
104	2681	3702
105	2708	3678
106	2736	3657
107	2760	3629
108	2785	3603
109	2842	3617
110	2894	3625
111	2917	3595
112	2935	3559
113	2962	3533
114	2981	3500
115	3001	3467
116	3021	3435
117	3045	3406
118	3067	3376
119	3086	3343
120	3110	3315
121	3131	3285
122	3152	3255
123	3174	3225
124	3195	3195
125	3216	3165
126	3242	3140
127	3263	3110
128	3273	3070
129	3327	3071
130	3348	3042
131	3372	3014
132	3405	2996
133	3427	2967
134	3467	2953
135	3489	2925
136	3512	2897
137	3543	2875
138	3567	2848
139	3587	2818
140	3607	2788
141	3627	2758
142	3651	2732
143	3674	2704
144	3700	2679
145	3724	2653
146	3753	2629
147	3779	2604
148	3804	2579
149	3855	2570
150	3883	2546
151	3912	2522
152	3937	2496
153	3965	2471
154	3987	2443
155	4014	2418
156	4036	2391
157	4074	2372
158	4099	2346
159	4125	2320
160	4152	2295
161	4177	2269
162	4208	2246
163	4233	2219
164	4257	2193
165	4285	2168
166	4317	2145
167	4341	2119
168	4375	2097
169	4385	2063
170	4409	2037
171	4436	2011
172	4472	1990
173	4495	1963
174	4524	1938
175	4548	1912
176	4572	1885
177	4597	1859
178	4619	1832
179	4642	1805
180	4650	1772
181	4671	1745
182	4700	1720
183	4711	1689
184	4735	1663
185	4751	1634
186	4775	1608
187	4792	1580
188	4867	1570
189	4910	1550
190	4956	1531
191	4980	1504
192	5008	1479
193	5022	1449
194	5045	1423
195	5088	1401
196	5113	1375
197	5139	1349
198	5164	1323
199	5188	1297
200	5214	1271
201	5237	1244
202	5260	1217
203	5286	1192
204	5313	1166
205	5335	1139
206	5361	1113
207	5385	1087
208	5412	1061
209	5436	1035
210	5462	1009
211	5476	981
212	5500	955
213	5526	929
214	5549	903
215	5573	877
216	5595	850
217	5618	824
218	5644	798
219	5658	771
220	5674	744
221	5697	718
222	5725	693
223	5752	667
224	5772	641
225	5786	614
226	5808	588
227	5828	562
228	5851	536
229	5869	510
230	5892	484
231	5921	459
232	5937	433
233	5957	407
234	5983	381
235	6006	356
236	6035	331
237	6058	305
238	6090	280
239	6117	254
240	6140	229
241	6160	203
242	6182	178
243	6203	152
244	6227	127
245	6250	101
246	6273	76
247	6298	50
248	6326	25
249	6349	0
